Restaurant_ID,Name,State,Latitude,Longitude,Alcohol_Service,Smoking_Allowed,Price,Franchise,Area,Parking,City
135062,Restaurante El Cielo Potosino,San Luis Potosi,22.153703,-100.979033,None,No,Medium,No,Closed,Yes,San Luis Potosi
135063,Restaurante Alhondiga,San Luis Potosi,22.156724,-100.975556,None,No,Medium,No,Closed,None,San Luis Potosi
135064,Restaurante El Chivero S.A. De C.V.,San Luis Potosi,22.154687,-100.996617,None,No,High,No,Closed,Yes,San Luis Potosi
135070,Restaurante 75,San Luis Potosi,22.152918,-100.915164,None,No,Medium,No,Closed,Yes,San Luis Potosi
135072,Sushi Itto,San Luis Potosi,22.149192,-101.002936,None,No,Medium,No,Closed,None,San Luis Potosi
135075,Mariscos El Pescador,San Luis Potosi,22.139573,-100.991564,None,No,Medium,No,Closed,Yes,San Luis Potosi
135079,Koye Sushi,San Luis Potosi,22.156376,-100.998355,None,No,High,No,Closed,None,San Luis Potosi
135080,Los Toneles,San Luis Potosi,22.145008,-100.997969,None,Yes,High,No,Closed,None,San Luis Potosi
135081,El Club,San Luis Potosi,22.164842,-100.960493,None,No,Medium,No,Closed,None,San Luis Potosi
135082,La Estrella De Dimas,San Luis Potosi,22.151448,-100.915099,None,No,Medium,No,Closed,None,San Luis Potosi
135085,Tortas Locas Hipocampo,San Luis Potosi,22.150802,-100.98268,None,No,Medium,No,Closed,Public,San Luis Potosi
135086,McDonalds Parque Tangamanga,San Luis Potosi,22.141421,-101.013955,None,No,Medium,Yes,Closed,Yes,San Luis Potosi
135088,Cafeteria Cenidet,Morelos,18.8760113,-99.2198896,None,No,Low,No,Closed,Public,Cuernavaca
135108,Potzocalli,San Luis Potosi,22.1362534,-100.9335852,None,No,Low,No,Closed,None,San Luis Potosi
132723,Gordas De Morales,San Luis Potosi,22.1489337,-101.019845,Full Bar,Yes,Medium,No,Closed,Public,San Luis Potosi
132766,Mikasa,Morelos,18.9101777,-99.2315438,Wine & Beer,No,Medium,No,Closed,Yes,Cuernavaca
132767,Restaurant Familiar El Chino,Morelos,18.8820871,-99.1630268,Wine & Beer,Yes,Medium,No,Open,Yes,Jiutepec
132773,El Cotorreo,Morelos,18.8699929,-99.2103195,Wine & Beer,Yes,Low,No,Open,None,Cuernavaca
132854,Sirlone,San Luis Potosi,22.1378633,-100.9383273,Wine & Beer,No,Medium,No,Closed,Yes,San Luis Potosi
132856,Unicol's Pizza,San Luis Potosi,22.1513782,-100.9746337,Wine & Beer,No,Low,No,Closed,None,San Luis Potosi
132862,La Posada Del Virrey,San Luis Potosi,22.1506429,-100.9870148,Wine & Beer,No,High,No,Closed,Valet,San Luis Potosi
132875,Shi Ro Ie,San Luis Potosi,22.1499013,-100.9937793,Wine & Beer,Yes,High,Yes,Open,Valet,San Luis Potosi
132921,Crudalia,San Luis Potosi,22.150305,-100.9891337,Wine & Beer,Yes,Low,No,Open,None,San Luis Potosi
132925,El Pueblito,San Luis Potosi,22.1534997,-100.976243,Wine & Beer,No,Medium,No,Closed,None,San Luis Potosi
132937,Rockabilly,San Luis Potosi,22.1500193,-100.9799203,Full Bar,Yes,Low,No,Closed,None,San Luis Potosi
132955,Emilianos,San Luis Potosi,22.147622,-101.0102749,Wine & Beer,No,Low,Yes,Closed,None,San Luis Potosi
134975,Rincon Del Bife,Morelos,18.940828,-99.215426,Full Bar,Yes,High,No,Closed,Valet,Cuernavaca
134983,Restaurant And Bar And Clothesline Carlos N Charlies,Morelos,18.948657,-99.235361,Full Bar,Yes,High,No,Closed,Yes,Cuernavaca
134986,Restaurant Las Mañanitas,Morelos,18.928798,-99.239513,Wine & Beer,No,High,No,Closed,Yes,Cuernavaca
134987,Chilis Cuernavaca,Morelos,18.932725,-99.225211,Wine & Beer,No,Medium,No,Closed,None,Cuernavaca
134992,Restaurant Teely,Morelos,18.936683,-99.247366,Wine & Beer,Yes,High,No,Closed,Yes,Cuernavaca
134996,Sanborns Casa Piedra,Morelos,18.923429,-99.216413,Wine & Beer,Yes,Medium,Yes,Closed,Yes,Cuernavaca
135001,Vips,Morelos,18.941859,-99.241927,Wine & Beer,No,Medium,Yes,Closed,Yes,Cuernavaca
135018,El Oceano Dorado,Morelos,18.859803,-99.222164,Full Bar,Yes,Medium,No,Open,Yes,Cuernavaca
135026,La Cantina,San Luis Potosi,22.148665,-101.001273,Full Bar,No,High,No,Closed,None,San Luis Potosi
135027,Restaurant Orizatlan,San Luis Potosi,22.147145,-100.974494,Wine & Beer,No,Medium,No,Closed,None,San Luis Potosi
135028,La Virreina,San Luis Potosi,22.146658,-100.987219,Wine & Beer,No,Medium,No,Closed,None,San Luis Potosi
135032,Cafeteria Y Restaurant El Pacifico,San Luis Potosi,22.152481,-100.973486,Wine & Beer,Yes,Medium,No,Closed,Public,San Luis Potosi
135040,Restaurant Los Compadres,San Luis Potosi,22.135617,-100.969709,Wine & Beer,No,High,No,Closed,Yes,San Luis Potosi
135041,Luna Cafe,San Luis Potosi,22.15106,-100.977659,Wine & Beer,No,Medium,No,Closed,None,San Luis Potosi
135045,Restaurante La Gran Via,San Luis Potosi,22.151189,-100.98179,Wine & Beer,No,High,No,Closed,Yes,San Luis Potosi
135047,Restaurante Casa De Las Flores,San Luis Potosi,22.150921,-100.993828,Wine & Beer,Yes,High,No,Closed,Yes,San Luis Potosi
135048,Restaurante Bar Fu-Hao,San Luis Potosi,22.142017,-100.999246,Wine & Beer,No,High,No,Closed,Yes,San Luis Potosi
135050,Restaurante La Estrella De Dima,San Luis Potosi,22.174887,-100.970825,Wine & Beer,No,High,No,Closed,Yes,San Luis Potosi
135052,La Cantina Restaurante,San Luis Potosi,22.150981,-100.977412,Full Bar,No,High,No,Closed,None,San Luis Potosi
135057,El Herradero Restaurante And Bar,San Luis Potosi,22.145992,-100.955118,Wine & Beer,Yes,Medium,No,Closed,Yes,San Luis Potosi
135059,Restaurant Bar Hacienda Los Martinez,San Luis Potosi,22.145108,-100.989547,Wine & Beer,Yes,Medium,No,Closed,Yes,San Luis Potosi
135065,El Angel Restaurante,San Luis Potosi,22.14958,-100.999557,Wine & Beer,Yes,High,No,Closed,None,San Luis Potosi
135066,Restaurante Guerra,San Luis Potosi,22.16835,-100.972466,Wine & Beer,Yes,High,No,Closed,Yes,San Luis Potosi
135069,Abondance Restaurante Bar,San Luis Potosi,22.140129,-100.944872,Wine & Beer,No,Low,No,Closed,Yes,San Luis Potosi
135071,Restaurante La Cantina,San Luis Potosi,22.126375,-100.910926,Full Bar,Yes,Medium,No,Closed,Yes,San Luis Potosi
135073,Restaurante Bar El Gallinero,San Luis Potosi,22.147175,-100.974269,Wine & Beer,Yes,High,No,Closed,Yes,San Luis Potosi
135074,Restaurante La Parroquia Potosina,San Luis Potosi,22.149689,-100.999525,Wine & Beer,Yes,High,No,Closed,Public,San Luis Potosi
135076,Restaurante Pueblo Bonito,San Luis Potosi,22.181017,-100.973614,Wine & Beer,No,High,No,Closed,Yes,San Luis Potosi
135104,Vips,Tamaulipas,23.7529821,-99.1684341,Full Bar,No,Medium,Yes,Closed,Yes,Ciudad Victoria
135106,El Rincón De San Francisco,San Luis Potosi,22.1497088,-100.9760928,Wine & Beer,Yes,Medium,No,Open,None,San Luis Potosi
135109,Paniroles,Morelos,18.9217848,-99.2353499,Wine & Beer,No,Medium,No,Closed,None,Cuernavaca
